,title,artist,lyrics
40,Susan's Apartment,Eels,"Going over to Susan's house, walking south down Baxter Street
Nothing hiding behind this picket fence
There's a crazy old woman smashing bottles on the sidewalk
Where her house burnt down two years ago
People say that back then she really wasn't that crazy

Going over to Susan's house
Going over to Susan's house
She's gonna make it right

Down by the Donut Prince a fifteen year old boy lies on the sidewalk
With a bullet in his forehead
In a final act of indignity the paramedics take off all his clothes
For the whole world to see while they put him in the bag
Meanwhile and old couple argues inside the Queen Bee
The sick fluorescent light shimmering on their skin

Going over to Susan's house
Going over to Susan's house
I can't be alone tonight

Take a left down echo park, a kid asks do I want some crack
T.v. sets are spewing Baywatch through the windows into black
Here comes a girl with long brown hair who can't be more than seventeen
She sucks on a red popsicle while she pushes a baby girl in a pink carriage
And I'm thinking, that must be her sister
That must be her sister, right?
They go into the 7-11 and I keep walking

Going over to Susan's house [Repeat: x2]"
41,Sweet Li'l Thing,Eels,"The Feeling of understanding is very rare
For someone like me it's hard to find
Somebody to care
She's got a way about her
Changes everything
She's got a way about her
She's my sweet lil' thing

Making love with her indie rock
Playing on the stereo
Holding hands going down the road
When she drives me home
She's got a magic about her
Makes me want to sing
She's got a magic about her
She's my sweet lil' thing

Spent the day lying in her bed
My nose against hers
Later we went for a drive
Didn't know where we were
Man I never felt so alive

Nobody gets the girl
But baby I do
Nobody gets me either
But she sees through
She's got a glow around her
Shines on everything
She's got a glow around her
She's my sweet lil' thing"
42,Rusty Pipes,Eels,"Rattle on the rusty pipes
Hit 'em hard, and hit 'em bright and clear
And make a noise, so everyone cannot mistake it's you

And let 'em know just what it's like
When you're not alright

Pray to god it won't get worse
That you'll be riding in a hearse to this
The party that you don't want to be ever invited to

But you'll be goin' anyway
However much you pray

Define a way, you'll find a way
No matter what I say

Rattle on the rusty pipes
Wake 'em up give them a fright
They can't just shake off like a scary dream
They have most every night

Don't even try I can't be saved
I'm beautiful and brave"
43,Losing Streak,Eels,"Was I wrong about the world?
It's a beautiful new place
Where else could a creep like me
Meet such a pretty face?

Meetin' every day with the risin' sun
Lookin' up, it's lookin' like
My losing streak is done

Used to always feel like
Wished that I was dressed better
Never had a lot of luck
Until I finally met her

Feelin' like the weight that weighed a ton
Lifted off my shoulders now
My losing streak is done

Always felt like givin' in
To the feeling, ""I can't win""
But I took it on the chin
Now I'm finally cashin' in

Meetin' every day with the risin' sun
Lookin' up, it's lookin' like
My losing streak is done

My losing streak is done
I said my losing streak is done
Did you hear me?
I said my losing streak is done"
44,That's Not Her Way,Eels,"Yeah, she's alright
Just floatin' through her day
People throwin' words 'round
And talkin' such trash
There's so much she could say
That's not her way

That's not her way

Oh, I've been a fool
Other things on my mind
It's not hard to assess
The many terrible things she could say
But that's not her way

People, that's not her way

Yeah, she's alright
She knows who she is
She could stop and remind me of
The many ways she brightens my day
That's not her way

People, that's not her way"
45,Electro-Shock Blues,Eels,"Feeling scared today
Write down ""I am OK""
A hundred times the doctors say
I am OK
I am OK
I'm not OK

Skin is crawling off
Mopping the sweaty drops
Sticking around for this shit
Another day
Another day
Not another day

Pink pills feels good
Finally understood
Take me in your warm embrace
I am trying
I am trying"
46,Understanding Salesman,Eels,"A knock at the door means
Hello Jesus calls
A ring on the phone means
A trip to Niagara falls

Daddy don't let me down this time
I'm all alone inside my mind
And it's no small thing
That I must prove to you

A late night card game
With the guys is alright
But I would rather take you
For a test drive

Daddy don't let me down this time
I'm all alone inside my mind
And it's no small thing
That I must prove to you

While I look out
On the passing fields
The sun through the bugs
On the windshield
Makes me feel
Like I
Don't matter

A knock on the door
Hello Jesus calls
A ring on the phone means
A trip to Niagara falls"
47,Friendly Ghost,Eels,"If you're scared to die
You better not be scared to live
I've been spending all my days
Giving all I can give

Last night I heard someone walk in
Through my bedroom door
What they wanted I'm not exactly sure

A friendly ghost is all I need

Marking time on a broken watch
Counting days 'til the old pawn shop
Sells me back my saxophone
Then everyone's gonna leave me alone

Two times I thought I heard someone
Knocking on the glass
I hid my head and prayed that it would pass

A friendly ghost is all I need

If you're scared to die 
You better not be scared to live
I've been carrying 'round a grudge
Think I better forgive

Last night I heard footsteps walking 
On the attic floor
I got up and I opened up the door

A friendly ghost is all I need"
48,Elizabeth on the Bathroom Floor,Eels,"Laying on the bathroom floor
Kitty licks my cheek once more
And I could try
But waking up is harder when you want to die

Walter's on the telephone
Telling him I am not at home
Cause I think I am going 
To a place where I'm always high

My name is Elizabeth
My life is shit and piss"
50,The Good Old Days,Eels,"I know I'm not too much of a bargain
And you know that's not what you bargained for
As the hours turn into days
Pretty soon lost in the haze
It's up to you and me
And who's to say
These could be the good old days

I like waking up after a bad dream
Makes it feel like life ain't bad
Little kids go out to play
They're just happy it's another day
It's up to you and me
And who's to say
These could be the good old days

I guess I could be a quiet hero
No one knows the good I've done
You're not sure, well that's okay
Cause I am and I'm not afraid
It's up to you and me
And who's to say
These could be the good old days"
